year,income,Subregion,gini_uhc
2000,High,Eastern Africa,0.0
2000,Low,Eastern Africa,0.11988011988012004
2000,Low,Central Africa,0.060975609756097615
2000,Low,Northern Africa,0.0
2000,Low,Southern Africa,0.02083333333333326
2000,Low,Western Africa,0.1289473684210527
2000,Lower-middle,Eastern Africa,0.088095238095238
2000,Lower-middle,Central Africa,0.10884353741496611
2000,Lower-middle,Northern Africa,0.1839622641509433
2000,Lower-middle,Southern Africa,0.12323943661971826
2000,Lower-middle,Western Africa,0.14925373134328357
2000,Upper-middle,Central Africa,0.11290322580645151
2000,Upper-middle,Northern Africa,0.00746268656716409
2000,Upper-middle,Southern Africa,0.09834123222748814
2001,High,Eastern Africa,0.0
2001,Low,Eastern Africa,0.11350293542074374
2001,Low,Central Africa,0.07499999999999996
2001,Low,Northern Africa,0.0
2001,Low,Southern Africa,0.0
2001,Low,Western Africa,0.12770270270270268
2001,Lower-middle,Eastern Africa,0.07242990654205617
2001,Lower-middle,Central Africa,0.11564625850340149
2001,Lower-middle,Northern Africa,0.1839622641509433
2001,Lower-middle,Southern Africa,0.1283783783783783
2001,Lower-middle,Western Africa,0.15014577259475215
2001,Upper-middle,Central Africa,0.10655737704918034
2001,Upper-middle,Northern Africa,0.0037037037037037646
2001,Upper-middle,Southern Africa,0.08878504672897192
2002,High,Eastern Africa,0.0
2002,Low,Eastern Africa,0.11466165413533846
2002,Low,Central Africa,0.07499999999999996
2002,Low,Northern Africa,0.0
2002,Low,Southern Africa,0.03488372093023262
2002,Low,Western Africa,0.1374309392265194
2002,Lower-middle,Eastern Africa,0.07173913043478253
2002,Lower-middle,Central Africa,0.11447811447811462
2002,Lower-middle,Northern Africa,0.18488372093023253
2002,Lower-middle,Southern Africa,0.1325503355704698
2002,Lower-middle,Western Africa,0.1540762902019448
2002,Upper-middle,Central Africa,0.1166666666666667
2002,Upper-middle,Northern Africa,0.0037037037037037646
2002,Upper-middle,Southern Africa,0.08486238532110102
2003,High,Eastern Africa,0.0
2003,Low,Eastern Africa,0.11981566820276512
2003,Low,Central Africa,0.07499999999999996
2003,Low,Northern Africa,0.0
2003,Low,Southern Africa,0.011111111111111072
2003,Low,Western Africa,0.1454918032786885
2003,Lower-middle,Eastern Africa,0.0847457627118644
2003,Lower-middle,Central Africa,0.12121212121212133
2003,Lower-middle,Northern Africa,0.18087557603686633
2003,Lower-middle,Southern Africa,0.13888888888888884
2003,Lower-middle,Western Africa,0.16326530612244894
2003,Upper-middle,Central Africa,0.12295081967213117
2003,Upper-middle,Northern Africa,0.0037037037037037646
2003,Upper-middle,Southern Africa,0.07954545454545459
2004,High,Eastern Africa,0.0
2004,Low,Eastern Africa,0.13102820746132848
2004,Low,Central Africa,0.08974358974358965
2004,Low,Northern Africa,0.0
2004,Low,Southern Africa,0.010638297872340496
2004,Low,Western Africa,0.125
2004,Lower-middle,Eastern Africa,0.06707317073170738
2004,Lower-middle,Central Africa,0.11881188118811892
2004,Lower-middle,Northern Africa,0.17986425339366519
2004,Lower-middle,Southern Africa,0.14308176100628933
2004,Lower-middle,Western Africa,0.1737849779086893
2004,Upper-middle,Central Africa,0.11904761904761907
2004,Upper-middle,Northern Africa,0.0037037037037037646
2004,Upper-middle,Southern Africa,0.06956521739130439
2005,High,Eastern Africa,0.0
2005,Low,Eastern Africa,0.12640692640692652
2005,Low,Central Africa,0.07499999999999996
2005,Low,Northern Africa,0.0
2005,Low,Southern Africa,0.020000000000000018
2005,Low,Western Africa,0.12126865671641784
2005,Lower-middle,Eastern Africa,0.07962962962962972
2005,Lower-middle,Central Africa,0.12297734627831725
2005,Lower-middle,Northern Africa,0.177927927927928
2005,Lower-middle,Southern Africa,0.1355421686746987
2005,Lower-middle,Western Africa,0.17199715707178398
2005,Upper-middle,Central Africa,0.1428571428571428
2005,Upper-middle,Northern Africa,0.0
2005,Upper-middle,Southern Africa,0.06759656652360513
2006,High,Eastern Africa,0.0
2006,Low,Eastern Africa,0.1082706766917294
2006,Low,Central Africa,0.0714285714285714
2006,Low,Northern Africa,0.0
2006,Low,Southern Africa,0.050000000000000044
2006,Low,Western Africa,0.11641630901287559
2006,Lower-middle,Eastern Africa,0.07638888888888884
2006,Lower-middle,Central Africa,0.10810810810810811
2006,Lower-middle,Northern Africa,0.17070484581497802
2006,Lower-middle,Southern Africa,0.1264044943820224
2006,Lower-middle,Western Africa,0.15525114155251152
2006,Upper-middle,Central Africa,0.15384615384615374
2006,Upper-middle,Northern Africa,0.0
2006,Upper-middle,Southern Africa,0.06012658227848111
2007,High,Eastern Africa,0.0
2007,Low,Eastern Africa,0.11780636425186186
2007,Low,Central Africa,0.08695652173913038
2007,Low,Northern Africa,0.0
2007,Low,Southern Africa,0.03846153846153855
2007,Low,Western Africa,0.12395833333333339
2007,Lower-middle,Eastern Africa,0.07000000000000006
2007,Lower-middle,Central Africa,0.10029498525073755
2007,Lower-middle,Northern Africa,0.16885964912280693
2007,Lower-middle,Southern Africa,0.11021505376344076
2007,Lower-middle,Western Africa,0.1404561824729893
2007,Upper-middle,Central Africa,0.125
2007,Upper-middle,Northern Africa,0.0036496350364962904
2007,Upper-middle,Southern Africa,0.05624999999999991
2008,High,Eastern Africa,0.0
2008,Low,Eastern Africa,0.11038961038961048
2008,Low,Central Africa,0.11224489795918369
2008,Low,Northern Africa,0.0
2008,Low,Southern Africa,0.035211267605633756
2008,Low,Western Africa,0.12801204819277112
2008,Lower-middle,Eastern Africa,0.05891719745222934
2008,Lower-middle,Central Africa,0.09855072463768133
2008,Lower-middle,Northern Africa,0.16304347826086962
2008,Lower-middle,Southern Africa,0.1071428571428572
2008,Lower-middle,Western Africa,0.13877551020408174
2008,Upper-middle,Central Africa,0.10674157303370779
2008,Upper-middle,Northern Africa,0.0036496350364962904
2008,Upper-middle,Southern Africa,0.05371900826446274
2009,High,Eastern Africa,0.0
2009,Low,Eastern Africa,0.11027568922305764
2009,Low,Central Africa,0.10784313725490202
2009,Low,Northern Africa,0.0
2009,Low,Southern Africa,0.054054054054053946
2009,Low,Western Africa,0.12406367041198507
2009,Lower-middle,Eastern Africa,0.045031055900621064
2009,Lower-middle,Central Africa,0.10919540229885061
2009,Lower-middle,Northern Africa,0.1499999999999999
2009,Lower-middle,Southern Africa,0.10449735449735442
2009,Lower-middle,Western Africa,0.140607424071991
2009,Upper-middle,Central Africa,0.09770114942528729
2009,Upper-middle,Northern Africa,0.007246376811594235
2009,Upper-middle,Southern Africa,0.050000000000000044
2010,High,Eastern Africa,0.0
2010,Low,Eastern Africa,0.1164021164021165
2010,Low,Central Africa,0.07692307692307687
2010,Low,Northern Africa,0.0
2010,Low,Southern Africa,0.054054054054053946
2010,Low,Western Africa,0.0877659574468086
2010,Lower-middle,Eastern Africa,0.03994082840236679
2010,Lower-middle,Central Africa,0.11396011396011407
2010,Lower-middle,Northern Africa,0.13493723849372374
2010,Lower-middle,Southern Africa,0.0949152542372882
2010,Lower-middle,Western Africa,0.1368821292775666
2010,Upper-middle,Central Africa,0.09770114942528729
2010,Upper-middle,Northern Africa,0.003597122302158251
2010,Upper-middle,Southern Africa,0.04757085020242924
2011,High,Eastern Africa,0.0
2011,Low,Eastern Africa,0.10728402032749873
2011,Low,Central Africa,0.027272727272727337
2011,Low,Northern Africa,0.0
2011,Low,Southern Africa,0.01948051948051943
2011,Low,Western Africa,0.08029801324503305
2011,Lower-middle,Eastern Africa,0.05555555555555558
2011,Lower-middle,Central Africa,0.04379562043795637
2011,Lower-middle,Northern Africa,0.14075630252100835
2011,Lower-middle,Southern Africa,0.09547325102880655
2011,Lower-middle,Western Africa,0.1252587991718428
2011,Upper-middle,Central Africa,0.10919540229885061
2011,Upper-middle,Northern Africa,0.026717557251908497
2011,Upper-middle,Southern Africa,0.051204819277108404
2012,High,Eastern Africa,0.0
2012,Low,Eastern Africa,0.120415982484948
2012,Low,Central Africa,0.028301886792452935
2012,Low,Northern Africa,0.0
2012,Low,Southern Africa,0.04878048780487809
2012,Low,Western Africa,0.08454692556634313
2012,Lower-middle,Eastern Africa,0.05494505494505497
2012,Lower-middle,Central Africa,0.02314814814814814
2012,Lower-middle,Northern Africa,0.14618644067796605
2012,Lower-middle,Southern Africa,0.09876543209876543
2012,Lower-middle,Western Africa,0.11647585863613741
2012,Upper-middle,Central Africa,0.06842105263157894
2012,Upper-middle,Northern Africa,0.011278195488721776
2012,Upper-middle,Southern Africa,0.052000000000000046
2013,High,Eastern Africa,0.0
2013,Low,Eastern Africa,0.14005016722408037
2013,Low,Central Africa,0.03846153846153855
2013,Low,Northern Africa,0.0
2013,Low,Southern Africa,0.04761904761904767
2013,Low,Western Africa,0.07932692307692313
2013,Lower-middle,Eastern Africa,0.05163043478260865
2013,Lower-middle,Central Africa,0.03809523809523818
2013,Lower-middle,Northern Africa,0.1470588235294117
2013,Lower-middle,Southern Africa,0.09365079365079376
2013,Lower-middle,Western Africa,0.11880216003927346
2013,Upper-middle,Central Africa,0.0625
2013,Upper-middle,Northern Africa,0.003597122302158251
2013,Upper-middle,Southern Africa,0.054780876494023856
2014,High,Eastern Africa,0.0
2014,Low,Eastern Africa,0.1517857142857142
2014,Low,Central Africa,0.025423728813559254
2014,Low,Northern Africa,0.0
2014,Low,Southern Africa,0.023255813953488413
2014,Low,Western Africa,0.07327586206896552
2014,Lower-middle,Eastern Africa,0.06868131868131866
2014,Lower-middle,Central Africa,0.04285714285714293
2014,Lower-middle,Northern Africa,0.14626556016597503
2014,Lower-middle,Southern Africa,0.0992366412213741
2014,Lower-middle,Western Africa,0.11295681063122931
2014,Upper-middle,Central Africa,0.05789473684210522
2014,Upper-middle,Northern Africa,0.007042253521126751
2014,Upper-middle,Southern Africa,0.05544747081712065
2015,High,Eastern Africa,0.0
2015,Low,Eastern Africa,0.13381410256410264
2015,Low,Central Africa,0.06140350877192979
2015,Low,Northern Africa,0.0
2015,Low,Southern Africa,0.0
2015,Low,Western Africa,0.06859756097560976
2015,Lower-middle,Eastern Africa,0.05270270270270272
2015,Lower-middle,Central Africa,0.05238095238095242
2015,Lower-middle,Northern Africa,0.13683127572016462
2015,Lower-middle,Southern Africa,0.09358490566037747
2015,Lower-middle,Western Africa,0.12750116333178219
2015,Upper-middle,Central Africa,0.04166666666666674
2015,Upper-middle,Northern Africa,0.0034965034965035446
2015,Upper-middle,Southern Africa,0.05076628352490431
2016,High,Eastern Africa,0.0
2016,Low,Eastern Africa,0.12898089171974525
2016,Low,Central Africa,0.08181818181818179
2016,Low,Northern Africa,0.0
2016,Low,Southern Africa,0.037634408602150504
2016,Low,Western Africa,0.049689440993788914
2016,Lower-middle,Eastern Africa,0.061518324607329866
2016,Lower-middle,Central Africa,0.05673758865248235
2016,Lower-middle,Northern Africa,0.1331967213114753
2016,Lower-middle,Southern Africa,0.09368029739776951
2016,Lower-middle,Western Africa,0.14656771799628943
2016,Upper-middle,Central Africa,0.030612244897959107
2016,Upper-middle,Northern Africa,0.0034965034965035446
2016,Upper-middle,Southern Africa,0.050380228136882144
2017,High,Eastern Africa,0.0
2017,Low,Eastern Africa,0.13320883909119208
2017,Low,Central Africa,0.03333333333333344
2017,Low,Northern Africa,0.0
2017,Low,Southern Africa,0.030612244897959107
2017,Low,Western Africa,0.04969879518072284
2017,Lower-middle,Eastern Africa,0.051507537688442184
2017,Lower-middle,Central Africa,0.07246376811594213
2017,Lower-middle,Northern Africa,0.11111111111111116
2017,Lower-middle,Southern Africa,0.08256227758007118
2017,Lower-middle,Western Africa,0.11764705882352944
2017,Upper-middle,Central Africa,0.03535353535353525
2017,Upper-middle,Northern Africa,0.0
2017,Upper-middle,Southern Africa,0.05303030303030298
2018,High,Eastern Africa,0.0
2018,Low,Eastern Africa,0.1283255086071986
2018,Low,Central Africa,0.034482758620689724
2018,Low,Northern Africa,0.0
2018,Low,Southern Africa,0.040000000000000036
2018,Low,Western Africa,0.0531437125748504
2018,Lower-middle,Eastern Africa,0.04792746113989632
2018,Lower-middle,Central Africa,0.08391608391608396
2018,Lower-middle,Northern Africa,0.10770750988142286
2018,Lower-middle,Southern Africa,0.07822878228782293
2018,Lower-middle,Western Africa,0.10413080895008608
2018,Upper-middle,Central Africa,0.020408163265306145
2018,Upper-middle,Northern Africa,0.007246376811594235
2018,Upper-middle,Southern Africa,0.06395348837209291
2019,High,Eastern Africa,0.0
2019,Low,Eastern Africa,0.12469135802469133
2019,Low,Central Africa,0.06363636363636371
2019,Low,Northern Africa,0.0
2019,Low,Southern Africa,0.044554455445544594
2019,Low,Western Africa,0.04491017964071853
2019,Lower-middle,Eastern Africa,0.03205128205128216
2019,Lower-middle,Central Africa,0.06802721088435382
2019,Lower-middle,Northern Africa,0.1180000000000001
2019,Lower-middle,Southern Africa,0.06423357664233587
2019,Lower-middle,Western Africa,0.10173802458668924
2019,Upper-middle,Central Africa,0.005154639175257714
2019,Upper-middle,Northern Africa,0.02238805970149249
2019,Upper-middle,Southern Africa,0.06106870229007644
2020,High,Eastern Africa,0.0
2020,Low,Eastern Africa,0.12312312312312312
2020,Low,Central Africa,0.06666666666666665
2020,Low,Northern Africa,0.0
2020,Low,Southern Africa,0.020000000000000018
2020,Low,Western Africa,0.056060606060606144
2020,Lower-middle,Eastern Africa,0.03426395939086291
2020,Lower-middle,Central Africa,0.06263982102908283
2020,Lower-middle,Northern Africa,0.1200000000000001
2020,Lower-middle,Southern Africa,0.06811594202898563
2020,Lower-middle,Western Africa,0.09721048182586656
2020,Upper-middle,Central Africa,0.0
2020,Upper-middle,Northern Africa,0.018248175182481674
2020,Upper-middle,Southern Africa,0.05149812734082393
2021,High,Eastern Africa,0.0
2021,Low,Eastern Africa,0.121765601217656
2021,Low,Central Africa,0.06896551724137923
2021,Low,Northern Africa,0.0
2021,Low,Southern Africa,0.03921568627450989
2021,Low,Western Africa,0.054394812680115256
2021,Lower-middle,Eastern Africa,0.03750000000000009
2021,Lower-middle,Central Africa,0.07256235827664415
2021,Lower-middle,Northern Africa,0.1140000000000001
2021,Lower-middle,Southern Africa,0.08791208791208804
2021,Lower-middle,Western Africa,0.10578925447730114
2021,Upper-middle,Central Africa,0.010204081632652962
2021,Upper-middle,Northern Africa,0.0
2021,Upper-middle,Southern Africa,0.05483271375464693
2022,High,Eastern Africa,0.0
2022,Low,Eastern Africa,0.12240047534165166
2022,Low,Central Africa,0.10000000000000009
2022,Low,Northern Africa,0.0
2022,Low,Southern Africa,0.019607843137254832
2022,Low,Western Africa,0.06443661971830994
2022,Lower-middle,Eastern Africa,0.04268292682926833
2022,Lower-middle,Central Africa,0.061002178649237626
2022,Lower-middle,Northern Africa,0.13056680161943324
2022,Lower-middle,Southern Africa,0.07605633802816913
2022,Lower-middle,Western Africa,0.11412151067323495
2022,Upper-middle,Central Africa,0.005154639175257714
2022,Upper-middle,Northern Africa,0.0035460992907800915
2022,Upper-middle,Southern Africa,0.047101449275362306
2023,High,Eastern Africa,0.0
2023,Low,Eastern Africa,0.12313104661389618
2023,Low,Central Africa,0.10000000000000009
2023,Low,Northern Africa,0.0
2023,Low,Southern Africa,0.009803921568627416
2023,Low,Western Africa,0.05524861878453047
2023,Lower-middle,Eastern Africa,0.040243902439024426
2023,Lower-middle,Central Africa,0.065359477124183
2023,Lower-middle,Northern Africa,0.11309523809523814
2023,Lower-middle,Southern Africa,0.08630136986301373
2023,Lower-middle,Western Africa,0.10397052803929596
2023,Upper-middle,Central Africa,0.005154639175257714
2023,Upper-middle,Northern Africa,0.0035460992907800915
2023,Upper-middle,Southern Africa,0.048181818181818103
